City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
70,Hilo,US,86.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
73,Harper,LR,75.79,light rain,4.375,-7.7169,Screensaver
75,Atuona,PF,76.86,light rain,-9.8,-139.0333,Villa Enata
76,Honiara,SB,85.73,scattered clouds,-9.4333,159.95,Heritage Park Hotel
79,Kaseda,JP,76.5,clear sky,31.4167,130.3167,Sun Stay Kaseda
83,Nicoya,CR,75.78,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
89,Victoria,HK,84.25,few clouds,22.2855,114.1577,Mini Central
96,Eyl,SO,76.84,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
99,Hithadhoo,MV,81.28,broken clouds,-0.6,73.0833,Scoop Guest House
100,Saint George,US,87.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
104,Bengkulu,ID,75.2,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
109,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
114,Metro,ID,76.12,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
121,Banikoara,BJ,75.85,broken clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
122,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
125,Qui Nhon,VN,77.77,overcast clouds,13.7667,109.2333,Seagull Hotel
128,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,hotel la terminal
130,Porto Velho,BR,77.05,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
135,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
136,Alyangula,AU,83.98,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
137,Davila,PH,78.78,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
139,Acarau,BR,77.76,clear sky,-2.8856,-40.12,castelo pizzaria
169,Lufilufi,WS,89.38,clear sky,-13.8745,-171.5986,Leuaina Beach Resort and Spa
171,Lar,IN,77.54,scattered clouds,26.2039,83.9717,Ovaiskarni ward Lar
176,Ha Giang,VN,75.16,overcast clouds,22.8333,104.9833,Truong Xuan Resort
178,Hambantota,LK,79.83,overcast clouds,6.1241,81.1185,Bungalow 63
179,Parintins,BR,75.69,overcast clouds,-2.6283,-56.7358,Cama e Cafe
180,Portland,US,89.71,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
184,Kavieng,PG,84.83,light rain,-2.5744,150.7967,Nusa Island Retreat
186,Hobyo,SO,76.24,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
187,Ormara,PK,79.11,few clouds,25.2088,64.6357,Kenara Colony House for Rent
190,Houma,US,81.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
195,Narwana,IN,75.81,clear sky,29.6167,76.1167,Dth Service Narwana
196,Tiarei,PF,84.22,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
200,Atar,MR,89.82,few clouds,20.5169,-13.0499,Oumou Elghoura
203,Manavalakurichi,IN,77.72,overcast clouds,8.1333,77.3,Jebinrio home
204,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
208,Labuhan,ID,80.28,overcast clouds,-6.8844,112.2051,DoubleFAG
210,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
213,Makakilo City,US,79.12,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
