City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Ribeira Grande,PT,38.5167,-28.7,71.74,87,96,10.16,light rain
164,Cap Malheureux,MU,-19.9842,57.6142,70.47,64,40,4.0,scattered clouds
165,Zharkent,KZ,44.1628,80.0,45.12,35,1,1.36,clear sky
166,Lavrentiya,RU,65.5833,-171.0,39.38,70,28,11.61,scattered clouds
167,Waipawa,NZ,-41.4122,175.5153,48.52,94,100,11.68,overcast clouds
168,Geraldton,AU,-28.7667,114.6,55.81,82,66,13.8,broken clouds
169,Lufilufi,WS,-13.8745,-171.5986,89.38,65,3,16.46,clear sky
170,Flin Flon,CA,54.7682,-101.865,66.04,55,75,11.5,broken clouds
171,Lar,IN,26.2039,83.9717,77.54,74,50,3.29,scattered clouds
172,Aldan,RU,58.6031,125.3894,20.84,91,100,6.02,light snow
173,Oum Hadjer,TD,13.2954,19.6966,78.26,68,32,18.3,scattered clouds
174,Tilichiki,RU,60.4667,166.1,36.91,71,100,8.05,overcast clouds
175,Barrow,US,71.2906,-156.7887,28.42,74,20,17.27,few clouds
176,Ha Giang,VN,22.8333,104.9833,75.16,98,91,0.38,overcast clouds
177,Palmer,US,42.1584,-72.3287,51.42,62,75,6.91,broken clouds
178,Hambantota,LK,6.1241,81.1185,79.83,76,94,20.98,overcast clouds
179,Parintins,BR,-2.6283,-56.7358,75.69,85,87,2.89,overcast clouds
180,Portland,US,45.5234,-122.6762,89.71,40,0,9.22,clear sky
181,Busselton,AU,-33.65,115.3333,55.18,56,68,10.87,broken clouds
182,Kaitangata,NZ,-46.2817,169.8464,50.29,56,54,15.79,broken clouds
183,Havoysund,NO,70.9963,24.6622,41.23,78,100,2.37,overcast clouds
184,Kavieng,PG,-2.5744,150.7967,84.83,67,5,9.17,light rain
185,Pitea,SE,65.3172,21.4794,48.29,90,97,4.14,overcast clouds
186,Hobyo,SO,5.3505,48.5268,76.24,87,97,20.74,overcast clouds
187,Ormara,PK,25.2088,64.6357,79.11,82,15,8.72,few clouds
188,Pandharpur,IN,17.6667,75.3333,73.18,83,45,9.42,scattered clouds
189,Kiama,AU,-34.6833,150.8667,62.38,65,8,2.91,clear sky
190,Houma,US,29.5958,-90.7195,81.0,45,0,9.22,clear sky
191,Pimentel,PE,-6.8367,-79.9342,61.09,82,75,16.11,broken clouds
192,Olafsvik,IS,64.8945,-23.7142,49.05,84,93,21.14,light rain
193,Cidreira,BR,-30.1811,-50.2056,61.18,89,44,7.11,scattered clouds
194,Sulmona,IT,42.0479,13.9291,62.42,66,17,5.37,few clouds
195,Narwana,IN,29.6167,76.1167,75.81,52,0,4.9,clear sky
196,Tiarei,PF,-17.5333,-149.3333,84.22,72,91,14.58,overcast clouds
197,Jinchang,CN,38.4953,102.1739,45.86,32,98,3.44,overcast clouds
198,Xichang,CN,27.8964,102.2634,64.65,93,14,0.58,few clouds
199,Chernyshevsk,RU,52.5243,117.0174,29.1,40,35,4.72,scattered clouds
200,Atar,MR,20.5169,-13.0499,89.82,24,17,5.03,few clouds
201,Poronaysk,RU,49.2167,143.1167,57.92,78,94,10.27,overcast clouds
202,Otradnoye,RU,59.7775,30.8181,44.65,91,100,5.91,overcast clouds
203,Manavalakurichi,IN,8.1333,77.3,77.72,84,97,13.82,overcast clouds
204,Bairiki,KI,1.3292,172.9752,87.8,62,40,12.66,scattered clouds
205,Eureka,US,40.8021,-124.1637,72.68,79,28,1.99,scattered clouds
206,Kruisfontein,ZA,-34.0033,24.7314,56.88,65,0,15.26,clear sky
207,Castro,BR,-24.7911,-50.0119,59.94,89,55,4.65,broken clouds
208,Labuhan,ID,-6.8844,112.2051,80.28,78,95,9.46,overcast clouds
209,Eisenberg,DE,50.9667,11.9,50.65,87,6,10.58,clear sky
210,San Cristobal,VE,7.7669,-72.225,75.38,94,76,2.57,broken clouds
211,Airai,TL,-8.9266,125.4092,68.63,73,93,1.03,overcast clouds
212,Santa Cruz De Tenerife,ES,28.4682,-16.2546,73.45,68,40,6.91,haze
213,Makakilo City,US,21.3469,-158.0858,79.12,82,100,12.66,light rain
214,Nanortalik,GL,60.1432,-45.2371,36.73,83,37,10.85,scattered clouds
215,Gamba,GA,-2.65,10.0,75.18,90,100,3.4,overcast clouds
216,Koungou,YT,-12.7336,45.2042,73.11,83,0,6.91,clear sky
217,Ramhormoz,IR,31.28,49.6035,83.7,14,0,4.21,clear sky
218,Naze,JP,28.3667,129.4833,81.52,68,10,10.67,clear sky
219,Nantucket,US,41.2835,-70.0995,55.51,75,100,24.16,overcast clouds
220,Port Hedland,AU,-20.3167,118.5667,77.05,73,53,8.05,broken clouds
221,Dodge City,US,37.7528,-100.0171,82.24,20,0,12.66,clear sky
222,Corrientes,AR,-27.4806,-58.8341,70.99,53,0,6.91,clear sky
223,Saskylakh,RU,71.9167,114.0833,26.08,94,100,13.47,overcast clouds
224,Murgab,TM,37.4966,61.9714,51.67,62,75,4.61,broken clouds
225,Tessalit,ML,20.1986,1.0114,91.78,22,67,9.04,broken clouds
226,Buchanan,LR,5.8808,-10.0467,75.38,91,100,6.22,moderate rain
227,Beyneu,KZ,45.3167,55.2,51.31,44,0,12.39,clear sky
228,Straumen,NO,63.8709,11.2999,50.0,85,100,7.0,light rain
229,Methoni,GR,36.8197,21.7049,72.21,76,0,12.55,clear sky
230,Borgarnes,IS,64.5383,-21.9206,50.05,95,100,6.6,overcast clouds
231,Balkhash,KZ,46.844,74.9804,37.8,46,0,21.21,clear sky
232,Amapa,BR,1.0,-52.0,78.57,65,70,4.34,moderate rain
233,Atambua,ID,-9.1061,124.8925,80.08,72,94,1.41,overcast clouds
234,Rochegda,RU,62.8,43.25,42.1,93,100,5.93,overcast clouds
235,Mizan Teferi,ET,6.9833,35.5833,59.47,95,70,2.44,broken clouds
236,Urumqi,CN,43.801,87.6005,32.95,51,0,2.24,clear sky
237,Lebu,CL,-37.6167,-73.65,50.52,86,83,4.54,broken clouds
